SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
542844,MF,INF204KB16G1,Nippon India Mutual Fund,EF                                                                                                    
542846,MF,INF204KB18G7,Nippon India Mutual Fund,EF                                                                                                    
AXISCETF,EQ,INF846K016C7,AXISAMC - AXISCETF,EF                                                                                                        
TECH,BL,INF209KB11D8,BIRLASLAMC - TECH,EF                                                                                                             
ROML-RE,BL,INE294G20018,RAJ OIL MILLS LIMITED,RE                                                                                                      
TNIDETF,EQ,INF277KA1364,TATAAML - TNIDETF,EF                                                                                                          
ASIAN-RE1,BE,INE022I20027,ASIAN GRANITO INDIA LIMIT,RE                                                                                                
ITBEES,BL,INF204KB15V2,NIP IND ETF IT,EF                                                                                                              
NV20BEES,EQ,INF204KB18I3,NIP IND ETF ETF NV20,EF                                                                                                      
AXISTECETF,EQ,INF846K01Y96,AXISAMC - AXISTECETF,EF                                                                                                    
AXISTECETF,BL,INF846K01Y96,AXISAMC - AXISTECETF,EF                                                                                                    
532985,EQ,INF174KA1JD7,KOTAK MAHINDRA MUTUAL FUND,EF                                                                                                  
542747,BL,INF204KB15D0,NIPPON INDIA ETF SENSEX NEXT 5,EF                                                                                              
COAST-RE,BE,INE377E20016,COASTAL CORP LIMITED-RE,RE                                                                                                   
HDFCGROWTH,EQ,INF179KC1DJ0,HDFCAMC - HDFCGROWTH,EF                                                                                                    
SUZLON-RE,BE,INE040H20013,SUZLON ENERGY LTD,RE                                                                                                        
HDFCNIFIT,BL,INF179KC1DX1,HDFCAMC - HDFCNIFIT,EF                                                                                                      
AKG-RE,BE,INE00Y820016,AKG EXIM LIMITED,RE                                                                                                            
EC1RD,MF,INF903JA1CI2,SUNDARMAMC - EC1RD,EF                                                                                                           
DSPBANKETF,BL,INF740KA1RX3,DSPAMC - DSPBANKETF,EF                                                                                                     
PATEL-RE,BE,INE244B20014,PATEL ENGINEERING LIMITED,RE                                                                                                 
CGCL-RE,BE,INE180C20018,CAPRI GLOBAL CAP LTD,RE                                                                                                       
PRAXIS-RE1,BE,INE546Y20022,PRAXIS HOME RETAIL LTD,RE                                                                                                  
PRAXIS-RE1,BL,INE546Y20022,PRAXIS HOME RETAIL LTD,RE                                                                                                  
538633,MF,INF204KA1ST8,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICICONSU,BL,INF109KC1V42,ICICIPRAMC - ICICICONSU,EF                                                                                                 
540981,MF,INF174KA1GD3,Kotak Mahindra Mutual Fund,EF                                                                                                  
543181,MF,INF204KB13T1,Nippon India Mutual Fund,EF                                                                                                    
543173,MF,INF204KB14U7,Nippon India Mutual Fund,EF                                                                                                    
543176,MF,INF204KB16U2,Nippon India Mutual Fund,EF                                                                                                    
PVR-RE,BL,INE191H20014,PVR LIMITED RE,RE                                                                                                              
