340,NAVKARCORP,INE278M01019,57.45,23.44
341,CTE,INE627H01017,68.4,100
342,IFCI,INE039A01010,12.8,20.41
343,HATHWAY,INE982F01036,15.2,20
344,SUTLEJTEX,INE645H01027,48.25,20
345,SHREYAS,INE757B01015,371.35,24.14
346,SMARTLINK,INE178C01020,166.25,20
347,TATASTLLP,INE674A01014,703.05,20
348,SASKEN,INE231F01020,961.8,20
349,RAIN,INE855B01025,166.45,20
350,DISHTV,INE836F01026,18.2,25.5
351,IRFC,INE053F01010,32.9,20
352,ALLSEC,INE835G01018,522.2,20
353,STYLAMIND,INE239C01020,1501.1,20
354,WIPRO,INE075A01022,392.05,9
355,JTLIND,INE391J01024,356.2,20
356,ATUL,INE100A01010,6518.35,20
357,GMRINFRA,INE776C01039,44.6,20
358,MONTECARLO,INE950M01013,798.7,20
359,NEWGEN,INE619B01017,619.1,20
360,NIACL,INE470Y01017,119.85,20
361,DIVISLAB,INE361B01024,3641.45,12.29
362,RSWM,INE611A01016,194.6,20
363,KPIGREEN,INE542W01017,868.9,23.73
364,MTNL,INE153A01019,19.45,21.09
365,PREMIERPOL,INE309M01012,116.25,100
366,ASTERDM,INE914M01019,311.9,20
367,INDIANHUME,INE323C01030,240,20
368,SHARDACROP,INE221J01015,544.6,20
369,CENTURYTEX,INE055A01016,895.2,20
370,GULFPETRO,INE586G01017,41.55,20
371,SGBAPR28I,IN0020200062,5870,10
372,FAZE3Q,INE963C01033,401.45,20
373,ICICITECH,INF109KC16I6,30.73,20
374,SWSOLAR,INE00M201021,287.55,20
375,ABSLAMC,INE404A01024,376.75,20
376,RAMASTEEL,INE230R01035,34.35,20.77
377,HDFC,INE001A01036,2747.35,9.24
378,AARTIDRUGS,INE767A01016,467.75,20
379,ELDEHSG,INE668G01021,774.65,20
380,BANKBEES,INF204KB15I9,456.07,20
381,IDFC,INE043D01016,114.8,20
382,SWELECTES,INE409B01013,466.35,21.34
383,BIRLAMONEY,INE865C01022,64.2,20
384,DIVOPPBEES,INF204KA1MS3,54.41,20
385,MURUDCERA,INE692B01014,40.25,100
386,ICEMAKE,INE520Y01019,399.25,21.79
387,SGBAUG29V,IN0020210129,5857.95,10
388,MAXVIL,INE154U01015,207.7,20.13
389,VINYLINDIA,INE250B01029,508.45,24.42
390,TCIEXP,INE586V01016,1512.1,20
391,TRENT,INE849A01020,1693.05,20
392,EBBETF0430,INF754K01KO2,1286.88,6
393,ALANKIT,INE914E01040,12.2,21.81
394,MFSL,INE180A01020,819.2,20
395,GLS,INE03Q201024,597.35,20
396,DIVGIITTS,INE753U01022,919.3,20
397,USK,INE0N0Y01013,29.8,20
398,CANTABIL,INE068L01016,1026,20
399,FINCABLES,INE235A01022,821.95,20
400,PVRINOX,INE191H01014,1426.45,20
401,TATACHEM,INE092A01019,992.25,20
402,ORIENTABRA,INE569C01020,39.2,20
403,UFO,INE527H01019,81.9,20
404,KAJARIACER,INE217B01036,1268.1,20
405,BHAGERIA,INE354C01027,156.75,20
406,SILVERBEES,INF204KC1402,70,20
407,APLLTD,INE901L01018,657.6,20
408,CAPLIPOINT,INE475E01026,814.55,20
409,SGBNV29VII,IN0020210178,5803.41,10
410,ARVSMART,INE034S01021,355.4,20
411,POLYCAB,INE455K01017,3774.8,20
412,IMPAL,INE547E01014,789.3,20
413,BSOFT,INE836A01035,355.15,20
414,AJANTPHARM,INE031B01049,1400.7,20
415,HAL,INE066F01012,3917.45,20
416,ALKALI,INE773I01017,112.1,100
417,GEPIL,INE878A01011,158.55,20
418,MANALIPETC,INE201A01024,66.85,20
419,ACI,INE128X01021,534.5,20
420,HONAUT,INE671A01010,43922.2,20
421,SIEMENS,INE003A01024,3766.6,20
422,MAZDOCK,INE249Z01012,1591.85,22.71
423,SILVERTUC,INE625X01018,378.9,20
424,HINDCOPPER,INE531E01026,118.85,20
425,TRIDENT,INE064C01022,33.25,20
