ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF846K01479,ATAFRGR,GR,OMF,7.5,2511.37
INF846K01149,ATAXDP,DP,OMF,7.5,22.54
INF846K01156,ATAXDR,DR,OMF,7.5,22.54
INF846K01131,ATAXGR,GR,OMF,7.5,71.14
INF754K01EB2,ATDD,DP,OMF,7.5,12.75
INF754K01EC0,ATDD,DR,OMF,7.5,12.75
INF754K01EA4,ATDG,GR,OMF,7.5,17.83
INF754K01EG1,ATDPD,DP,OMF,7.5,12.36
INF754K01EH9,ATDPR,DR,OMF,7.5,12.36
INF754K01EF3,ATGPG,GR,OMF,7.5,16.84
INF846K01776,ATRIPDP,DP,OMF,7.5,17.95
INF846K01784,ATRIPDR,DR,OMF,7.5,17.95
INF846K01768,ATRIPGR,GR,OMF,7.5,30.83
INF846K017C5,AXISABDGG,GR,OMF,7.5,10.65
INF846K010D8,AXISABGPG,GR,OMF,7.5,10.62
INF846K01CO3,AXISAFD1,DP,OMF,7.5,31.65
INF846K01CP0,AXISAFD1,DR,OMF,7.5,31.65
INF846K01CQ8,AXISAFDG,GR,OMF,7.5,47.81
INF846K01CI5,AXISAFDP,DP,OMF,7.5,18.14
INF846K01CJ3,AXISAFDP,DR,OMF,7.5,18.14
INF846K01CH7,AXISAFGP,GR,OMF,7.5,42.22
INF846K01U09,AXISASDGG,GR,OMF,7.5,12.42
INF846K01V16,AXISASGPG,GR,OMF,7.5,12.27
INF846K01CC8,AXISBDDDR,DR,OMF,7.5,1039.13
INF846K01CR6,AXISBDDG,GR,OMF,7.5,2336.44
INF846K01CT2,AXISBDDM,DP,OMF,7.5,1034.60
INF846K01CS4,AXISBDDM,DR,OMF,7.5,1034.60
INF846K01CF1,AXISBDDPD,DP,OMF,7.5,1034.47
INF846K01CG9,AXISBDDPR,DR,OMF,7.5,1034.47
INF846K01CV8,AXISBDDW,DP,OMF,7.5,1038.80
INF846K01CW6,AXISBDDW,DR,OMF,7.5,1038.80
INF846K01CB0,AXISBDGP,GR,OMF,7.5,2278.47
INF846K01CD6,AXISBDWDD,DP,OMF,7.5,1038.79
INF846K01CE4,AXISBDWDR,DR,OMF,7.5,1038.79
INF846K01K19,AXISCDPD,DP,OMF,7.5,37.57
INF846K01420,AXISCFDD,DR,GMF,10,1001.40
INF846K01CX4,AXISCFDG,GR,GMF,10,2549.75
INF846K01CY2,AXISCFDM,DP,GMF,10,1003.57
INF846K01CZ9,AXISCFDM,DR,GMF,10,1003.57
INF846K01453,AXISCFDP,DP,GMF,10,1004.13
INF846K01461,AXISCFDP,DR,GMF,10,1004.13
INF846K01DA0,AXISCFDR,DR,GMF,10,1000.96
INF846K01DB8,AXISCFDW,DP,GMF,10,1002.27
INF846K01DC6,AXISCFDW,DR,GMF,10,1002.27
INF846K01412,AXISCFGP,GR,GMF,10,2532.19
INF846K01438,AXISCFWD,DP,GMF,10,1002.27
INF846K01446,AXISCFWD,DR,GMF,10,1002.27
INF846K012O1,AXISCLDGG,GR,OMF,7.5,10.36
INF846K01DD4,AXISCMDG,GR,GMF,10,22.93
INF846K01AX8,AXISCMGP,GR,GMF,10,21.69
INF846K01ZM8,AXISCODGG,GR,OMF,7.5,15.33
INF846K01ZU1,AXISCOGPG,GR,OMF,7.5,14.66
INF846K01A03,AXISCORDD,DP,OMF,7.5,12.37
INF846K01A11,AXISCORDR,DR,OMF,7.5,12.37
INF846K017G6,AXISCRDGG,GR,OMF,7.5,10.55
INF846K010H9,AXISCRGPG,GR,OMF,7.5,10.53
INF846K015F2,AXISCSDGG,GR,OMF,7.5,10.59
INF846K018F6,AXISCSGPG,GR,OMF,7.5,10.57
INF846K010N7,AXISCTDGG,GR,OMF,7.5,10.35
INF846K013N1,AXISCTGPG,GR,OMF,7.5,10.34
INF846K01DI3,AXISDBDG,GR,OMF,7.5,27.77
INF846K01917,AXISDBGP,GR,OMF,7.5,25.43
INF846K01925,AXISDBQD,DP,OMF,7.5,10.39
INF846K01933,AXISDBQDR,DR,OMF,7.5,10.39
INF846K01A37,AXISDED1D,DP,OMF,7.5,12.32
INF846K01A45,AXISDED1R,DR,OMF,7.5,12.32
INF846K01A29,AXISDEDGG,GR,OMF,7.5,16.74
INF846K01A60,AXISDEDPD,DP,OMF,7.5,11.68
INF846K01A78,AXISDEDPR,DR,OMF,7.5,11.68
INF846K01A52,AXISDEGPG,GR,OMF,7.5,15.39
INF846K01QA2,AXISEAD1D,DP,OMF,7.5,11.57
INF846K01QB0,AXISEAD1R,DR,OMF,7.5,11.57
INF846K01PZ1,AXISEADG,GR,OMF,7.5,17.46
INF846K01QD6,AXISEADPD,DP,OMF,7.5,10.71
INF846K01QE4,AXISEADPR,DR,OMF,7.5,10.71
INF846K01QC8,AXISEAGPG,GR,OMF,7.5,16.28
INF846K01W23,AXISEEDGG,GR,OMF,7.5,16.72
INF846K01W64,AXISEEDPD,DP,OMF,7.5,13.45
INF846K01W72,AXISEEDPR,DR,OMF,7.5,13.45
INF846K01W56,AXISEEGPG,GR,OMF,7.5,15.88
INF846K01DN3,AXISEFD1,DP,OMF,7.5,22.46
INF846K01DO1,AXISEFD1,DR,OMF,7.5,22.46
INF846K01DP8,AXISEFDG,GR,OMF,7.5,52.38
INF846K01E25,AXISEHDGG,GR,OMF,7.5,17.05
INF846K01E33,AXISEHDMD,DP,OMF,7.5,14.58
INF846K01E41,AXISEHDMR,DR,OMF,7.5,14.58
INF846K01F08,AXISEHDPD,DP,OMF,7.5,12.53
INF846K01F16,AXISEHDPR,DR,OMF,7.5,12.53
INF846K01E90,AXISEHGPG,GR,OMF,7.5,15.91
INF846K01F24,AXISEHQDD,DP,OMF,7.5,12.80
INF846K01F32,AXISEHQDR,DR,OMF,7.5,12.80
INF846K01E74,AXISEHRDD,DP,OMF,7.5,12.25
INF846K01E82,AXISEHRDR,DR,OMF,7.5,12.25
INF846K01VJ3,AXISESDGG,GR,OMF,7.5,19.74
INF846K01VK1,AXISESDMD,DP,OMF,7.5,12.79
INF846K01VL9,AXISESDMR,DR,OMF,7.5,12.79
INF846K01VP0,AXISESDPD,DP,OMF,7.5,11.36
INF846K01VQ8,AXISESDPR,DR,OMF,7.5,11.36
INF846K01VO3,AXISESGPG,GR,OMF,7.5,17.88
INF846K01VR6,AXISESQDD,DP,OMF,7.5,11.51
INF846K01VS4,AXISESQDR,DR,OMF,7.5,11.51
INF846K01DQ6,AXISGOD1,DP,OMF,7.5,19.27
INF846K01DR4,AXISGOD1,DR,OMF,7.5,19.27
INF846K01DS2,AXISGODG,GR,OMF,7.5,19.25
INF846K01AM1,AXISGODP,DP,OMF,7.5,17.82
INF846K01AN9,AXISGODPR,DR,OMF,7.5,17.82
INF846K01AL3,AXISGOGP,GR,OMF,7.5,17.80
INF846K01DT0,AXISIFDG,GR,OMF,7.5,25.93
INF846K01DW4,AXISIFDQ,DP,OMF,7.5,10.32
INF846K01DX2,AXISIFDQ,DR,OMF,7.5,10.32
INF846K01BP2,AXISIFGPGP,GR,OMF,7.5,23.91
INF846K01BQ0,AXISIFQDDP,DP,OMF,7.5,10.19
INF846K01BS6,AXISIFQDRP,DR,OMF,7.5,10.19
INF846K01PJ5,AXISIODG,GR,OMF,7.5,20.26
INF846K01PR8,AXISIODPD,DP,OMF,7.5,10.08
INF846K01PS6,AXISIODPR,DR,OMF,7.5,10.08
INF846K01PO5,AXISIOGP,GR,OMF,7.5,18.39
INF846K01EA8,AXISISDG,GR,OMF,7.5,29.22
INF846K014L3,AXISLFDGG,GR,OMF,7.5,1050.78
INF846K015L0,AXISLFGPG,GR,OMF,7.5,1047.67
INF846K01EF7,AXISMCD1,DP,OMF,7.5,42.41
INF846K01EG5,AXISMCD1,DR,OMF,7.5,42.41
INF846K01EH3,AXISMCDG,GR,OMF,7.5,84.59
INF846K01867,AXISMCDP,DP,OMF,7.5,32.80
INF846K01875,AXISMCDPR,DR,OMF,7.5,32.80
INF846K01859,AXISMCGP,GR,OMF,7.5,74.33
INF846K01Q62,AXISMDGP,GR,GMF,10,1244.34
INF846K01B02,AXISMLD1D,DP,OMF,7.5,14.32
