MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NL,IBULHSGFIN,SEC RE NCD 8.42% SR.III,       988.00,       978.45,       978.45,       978.45,       978.45,                      978.45,1, ,1,      1005.00,       833.00
N,NL,IFCI,9.40 % SRNCD TR II SR III,      1033.68,      1038.00,      1038.00,      1032.60,      1032.60,                    79607.20,77, ,3,      1123.99,      1003.00
N,NL,IIFL,SEC RE NCD 8.42% SR.V,       957.87,       957.99,       957.99,       956.00,       956.00,                   153174.60,160, ,4,      1000.00,       830.20
N,NL,INDIGRID,SEC RE NCD 7.97% SR.VI,      1010.00,      1000.25,      1000.25,      1000.25,      1000.25,                    20005.00,20, ,1,      1065.00,       886.00
N,NN,TCFSL,UNSERENCD8.85%SRIVCIII&IV,      1102.25,      1106.00,      1106.00,      1106.00,      1106.00,                    22120.00,20, ,3,      1285.00,      1070.00
N,NO,ECLFINANCE,SEC RED NCD 9.95% SR. III,       990.88,       990.88,       994.00,       990.88,       994.00,                   449965.00,453, ,20,      1069.00,       975.00
N,NO,IIFL,SEC RE NCD 8.5% SR.I,       987.00,       987.00,       987.00,       987.00,       987.00,                     8883.00,9, ,1,      1004.00,       960.00
N,NO,IRFC,TAX FREE  7.64% SR. 108A,      1182.00,      1182.50,      1188.00,      1182.50,      1188.00,                   765160.00,645, ,3,      1230.00,      1130.00
N,NP,ECLFINANCE,SEC RED NCD 10.40% SR. IV,      1030.00,      1031.00,      1031.10,      1031.00,      1031.05,                     2062.10,2, ,2,      1215.00,       976.35
N,NQ,ECLFINANCE,SEC RED NCD SR. V,      1535.00,      1535.00,      1535.00,      1523.00,      1523.00,                    99247.00,65, ,11,      1798.00,      1380.00
N,NQ,L&TFINANCE,SERENCD 8.66% SR.IV OPII,      1015.00,      1001.25,      1010.69,      1001.25,      1005.51,                   190756.73,190, ,12,      1145.00,       970.00
N,NR,ECLFINANCE,SEC RED NCD 10.15% SR. VI,      1002.18,      1005.00,      1005.00,      1002.10,      1003.59,                   221964.50,221, ,13,      1119.15,       801.10
N,NS,ECLFINANCE,SEC RED NCD 10.6% SR. VII,      1033.90,      1039.00,      1039.00,      1038.99,      1038.99,                    14545.91,14, ,2,      1108.00,       920.00
N,NS,IBUCCREDIT,SEC RE NCD SR.III,       975.00,       950.63,       950.63,       950.63,       950.63,                     8555.67,9, ,1,       975.00,       950.63
N,NS,IIFL,SEC RE NCD 8.65% SR.V,       956.90,       956.80,       959.00,       955.00,       955.00,                  1045476.25,1094, ,19,      1000.00,       948.01
N,NT,IIFL,SEC RE NCD 9% SR.VI,       999.97,       975.15,       981.00,       974.50,       981.00,                   196884.75,202, ,17,      1025.00,       941.00
N,NU,DHANILOANS,SEC RE NCD 10.03% SR.IV,       990.00,       989.95,       989.95,       989.95,       989.95,                     5939.70,6, ,3,      1158.80,       815.30
N,NV,IIFL,SEC RE NCD 8.35% SR.I,       940.00,       940.00,       940.00,       931.35,       940.00,                    75116.75,80, ,12,       995.00,       830.00
N,NW,DHANILOANS,SEC RE NCD 0% SR.VI,      1067.00,      1121.00,      1121.00,      1121.00,      1121.00,                     2242.00,2, ,1,      1122.00,       815.30
N,NW,IIFL,SEC RE NCD 0% SR.II,       948.00,       936.00,       980.00,       936.00,       980.00,                    28960.00,30, ,2,      1000.00,       900.00
N,NZ,IBUCCREDIT,SEC RE NCD 10.03% SR.VIII,      1050.00,      1030.00,      1030.00,      1030.00,      1030.00,                     5150.00,5, ,1,      1065.00,       950.00
N,NZ,IIFL,SEC RE NCD 8.65% SR.V,       965.00,       989.75,       989.75,       956.00,       958.96,                   126965.65,132, ,11,       989.75,       926.00
N,Y0,IIFL,SEC RE NCD 9% SR.VI,       980.00,       979.00,       979.00,       965.00,       965.00,                    45438.00,47, ,4,       990.00,       901.00
N,Y1,IBULHSGFIN,SEC RE NCD SR.II,      1105.00,      1072.45,      1072.45,      1072.45,      1072.45,                     1072.45,1, ,1,      1105.00,       960.15
N,Y1,IIFL,SEC RE NCD 0% SR.VII,       930.00,       931.00,       935.00,       931.00,       935.00,                    63412.50,68, ,10,       935.00,       920.00
N,Y5,DHANILOANS,SEC RE NCD 10.49% SR.VII,      1002.00,      1002.00,      1002.00,      1002.00,      1002.00,                    26052.00,26, ,2,      1204.00,       801.00
N,Y5,IBULHSGFIN,SEC RE NCD 9% SR.IV,      1000.00,       997.00,       997.00,       997.00,       997.00,                    14955.00,15, ,5,      1045.45,       879.35
N,Y5,L&TFINANCE,SE RE NCD 8.60% SR.IV O8,      1052.80,      1052.75,      1052.75,      1048.00,      1048.00,                     5244.75,5, ,5,      1100.00,       950.20
N,Y6,IBULHSGFIN,SEC RE NCD SR.V,      1083.70,      1083.70,      1087.90,      1072.00,      1072.00,                    84612.20,78, ,9,      1087.90,       900.00
N,Y7,L&TFINANCE,SE RE NCD 8.29% SR.V O10,      1007.50,      1007.00,      1007.00,      1007.00,      1007.00,                     6042.00,6, ,2,      1058.00,       975.00
N,Y8,IBULHSGFIN,SEC RE NCD 8.66% SR.VI,       960.80,       960.70,       960.80,       960.70,       960.80,                    11528.50,12, ,2,       977.00,       900.10
N,YA,IBULHSGFIN,SEC RE NCD 9.25% SR.VII,       950.00,       950.00,       950.00,       950.00,       950.00,                    25650.00,27, ,2,      1000.00,       815.20
N,YG,IBULHSGFIN,SEC RE NCD 8.75% SR.I,       970.00,       962.00,       980.00,       962.00,       970.00,                   293800.00,303, ,8,      1044.50,       901.20
N,YI,SHRIRAMFIN,SEC RED NCD 9.03% SR. II,      1056.50,      1030.00,      1030.00,      1030.00,      1030.00,                     1030.00,1, ,1,      1134.40,       992.50
N,YL,SHRIRAMFIN,SEC RED NCD 9.40% SR. V,      1030.20,      1035.50,      1035.50,      1030.50,      1030.50,                    51737.50,50, ,3,      1179.69,       977.20
N,YO,SHRIRAMFIN,SEC RED NCD 9.12% SR. I,      1004.92,      1000.00,      1000.00,      1000.00,      1000.00,                    50000.00,50, ,2,      1039.99,       905.00
N,YR,SHRIRAMFIN,SEC RED NCD 9.50% SR. IV,      1061.10,      1062.00,      1062.00,      1060.10,      1061.00,                   201597.40,190, ,6,      1125.00,      1001.00
N,YU,SHRIRAMFIN,SEC RED NCD SR. VII,      1518.00,      1525.00,      1525.00,      1525.00,      1525.00,                    76250.00,50, ,1,      1790.00,      1356.01
N,YV,IBULHSGFIN,SEC RE NCD 9.05% SR.I,      1034.24,      1010.20,      1010.20,      1010.20,      1010.20,                    10102.00,10, ,1,      1035.00,       815.25
N,YV,SHRIRAMFIN,SEC RED NCD 9.12% SR. I,      1007.00,      1006.00,      1006.00,      1003.00,      1006.00,                    91516.00,91, ,7,      1115.00,       906.00
N,YY,SHRIRAMFIN,SEC RED NCD 9.50% SR. IV,      1028.00,      1075.00,      1075.00,      1075.00,      1075.00,                   107500.00,100, ,1,      1290.00,      1000.01
N,YZ,SHRIRAMFIN,SEC RED NCD 9.70% SR. V,      1087.00,      1065.00,      1065.00,      1062.00,      1064.22,                    28734.00,27, ,2,      1180.00,      1025.31
N,Z5,IBULHSGFIN,SEC RE NCD 8.94% SR.VI,       963.00,       955.00,       955.00,       952.00,       953.83,                    39120.00,41, ,7,      1110.00,       930.00
N,Z8,SHRIRAMFIN,SEC RED NCD 9.6% SR.VI,      1089.90,      1090.00,      1090.00,      1090.00,      1090.00,                    10900.00,10, ,1,      1220.50,      1003.03
N,ZJ,IBULHSGFIN,SEC RE NCD SR.V,       993.00,       950.00,       950.00,       950.00,       950.00,                     9500.00,10, ,2,       993.00,       865.00
N,ZP,IBULHSGFIN,SEC RE NCD 9.30% SR.I,      1009.80,      1009.00,      1009.00,      1009.00,      1009.00,                    26234.00,26, ,2,      1030.00,       860.00
N,ZU,IBULHSGFIN,SEC RE NCD 9.55% SR.IV,      1010.00,      1010.00,      1010.00,      1010.00,      1010.00,                     3030.00,3, ,2,      1020.00,      1010.00
